x	dT
10	-1,134389
13,673469	-0,602593
17,346939	0,024113
21,020408	0,76181
24,693878	1,629756
28,367347	2,651189
32,040816	3,854389
35,714286	5,274115
39,387755	6,953561
43,061224	8,94709
46,734694	11,324096
50,408163	14,174569
54,081633	17,61728
57,755102	21,812029
61,428571	26,97837
65,102041	33,424712
68,77551	41,594175
72,44898	52,136779
76,122449	66,01897
79,795918	84,665796
83,469388	110,027782
87,142857	144,003357
90,816327	185,247987
94,489796	221,040155
98,163265	225,412853
101,836735	184,072955
105,510204	114,830521
109,183673	50,950741
112,857143	9,052123
116,530612	-14,204407
120,204082	-26,30953
123,877551	-32,360014
127,55102	-35,14638
131,22449	-36,138295
134,897959	-36,121674
138,571429	-35,529889
142,244898	-34,609903
145,918367	-33,506804
149,591837	-32,308105
153,265306	-31,067737
156,938776	-29,819475
160,612245	-28,584673
164,285714	-27,376845
167,959184	-26,204455
171,632653	-25,072648
175,306122	-23,98435
178,979592	-22,940986
182,653061	-21,942951
186,326531	-20,989933
190	-20,081128
